,Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths,observationdate_value,count
38270,227424,OIE,36.909245,127.67066899999999,Asia,Republic of Korea,Chungchongbuk-do,Eumseong-gun,Exact,9/12/16,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",89784.0,20.0,20.0,89764.0,0.0,,,,,2016.93973,2022
36975,221528,FAO Field Officer,-3.419572,114.807,Asia,Indonesia,Kalimantan Selatan,LOKTABAT SELATAN,Exact,9/12/16,9/12/16,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,8.0,,,,,,,2016.93973,2023
37993,227428,OIE,38.047443,127.26256799999999,Asia,Republic of Korea,Kyonggi-do,Pocheon-si,Exact,10/12/16,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",29595.0,200.0,200.0,29395.0,0.0,,,,,2016.94247,2024
38140,227438,OIE,37.100344,127.488755,Asia,Republic of Korea,Kyonggi-do,Anseong-si,Exact,11/12/16,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",399065.0,61.0,61.0,399004.0,0.0,,,,,2016.94521,2025
51556,220770,OIE,53.0219,5.5675,Europe,Netherlands,Friesland,Abbega,Exact,12/12/16,14/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",59439.0,500.0,500.0,58939.0,0.0,,,,,2016.94795,2026
37960,227445,OIE,36.906294,127.44408,Asia,Republic of Korea,Chungchongbuk-do,Jincheon-gun,Exact,12/12/16,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",99485.0,400.0,400.0,99085.0,0.0,,,,,2016.94795,2027
37204,221534,FAO Field Officer,-4.103382,120.132,Asia,Indonesia,Sulawesi Selatan,MASSAILE,Exact,12/12/16,12/12/16,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,20.0,,,,,,,2016.94795,2028
38350,227448,OIE,36.730965999999995,127.16914399999999,Asia,Republic of Korea,Chungchongnam-do,Sojeong-myeon,Exact,12/12/16,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",25015.0,15.0,15.0,25000.0,0.0,,,,,2016.94795,2029
37948,227463,OIE,37.199905,127.60303799999998,Asia,Republic of Korea,Kyonggi-do,Yeoju-si,Exact,13/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",418311.0,1000.0,1000.0,417311.0,0.0,,,,,2016.95068,2030
37962,227477,OIE,37.085572,127.513044,Asia,Republic of Korea,Kyonggi-do,Anseong-si,Exact,14/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",293350.0,400.0,400.0,292950.0,0.0,,,,,2016.95342,2031
37969,227487,OIE,36.714172,127.24110800000001,Asia,Republic of Korea,Chungchongnam-do,Cheonan-si,Exact,15/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",44997.0,300.0,300.0,44697.0,0.0,,,,,2016.95616,2032
38125,227493,OIE,37.047336,126.77096599999999,Asia,Republic of Korea,Kyonggi-do,Hwaseong-si,Exact,16/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",45013.0,92.0,92.0,44921.0,0.0,,,,,2016.9589,2033
62624,220913,OIE,43.01135,142.884491,Asia,Japan,Hokkaidoo,Shimizu-cho,Exact,16/12/2016,19/12/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",283982.0,30.0,30.0,283952.0,0.0,,,,,2016.9589,2034
38288,227491,OIE,36.722252000000005,127.1825,Asia,Republic of Korea,Chungchongnam-do,Sojeong-myeon,Exact,16/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",213020.0,20.0,20.0,213000.0,0.0,,,,,2016.9589,2035
38209,227503,OIE,38.136227000000005,127.25591999999999,Asia,Republic of Korea,Kang-won-do,Pocheon-si,Exact,17/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",37975.0,34.0,34.0,37941.0,0.0,,,,,2016.96164,2036
62626,220922,OIE,53.3486,5.9717,Europe,Netherlands,Friesland,Hiaure,Exact,17/12/2016,19/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",28491.0,10.0,10.0,28481.0,0.0,,,,,2016.96164,2037
40472,221698,OIE,22.6326,120.362944,Asia,Taiwan (Province of China),Taiwan Sheng,Fengshan District,Unknown,17/12/2016,9/1/17,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",240.0,1.0,1.0,239.0,0.0,,,,,2016.96164,2038
37996,227516,OIE,37.018871999999995,126.88842700000001,Asia,Republic of Korea,Kyonggi-do,Pyeongtaek-si,Exact,18/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",64841.0,200.0,200.0,64641.0,,,,,,2016.96438,2039
74915,221711,OIE,51.864,5.544,Europe,Netherlands,Gelderland,Boven Leeuwen,Exact,19/12/2016,28/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",48082.0,240.0,240.0,47842.0,0.0,,,,,2016.96712,2040
38007,227519,OIE,36.947886,127.084372,Asia,Republic of Korea,Kyonggi-do,Pyeongtaek-si,Exact,19/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",374480.0,169.0,169.0,374311.0,,,,,,2016.96712,2041
62622,220914,OIE,32.19197,131.525822,Asia,Japan,Miyazaki,Kawaminami-cho,Exact,19/12/2016,19/12/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",122000.0,100.0,100.0,121900.0,0.0,,,,,2016.96712,2042
38146,227523,OIE,36.721977,127.2231,Asia,Republic of Korea,Chungchongnam-do,Cheonan-si,Exact,19/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",71901.0,60.0,60.0,71841.0,,,,,,2016.96712,2043
37997,227533,OIE,37.054102,127.290425,Asia,Republic of Korea,Kyonggi-do,Anseong-si,Exact,20/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",206742.0,200.0,200.0,206542.0,,,,,,2016.96986,2044
37964,227539,OIE,36.906541,127.08793600000001,Asia,Republic of Korea,Chungchongnam-do,Cheonan-si,Exact,21/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",100400.0,400.0,400.0,100000.0,,,,,,2016.9726,2045
